86420	22	35	NUR	NUR
86420	28	15	NUR	MED
86420	24	35	NUR	NUR
86420	23	15	NUR	MED
86440	22	35	NUR	NUR
86440	28	15	NUR	MED
86440	28	1	NUR	ADM
86440	1	15	ADM	MED
86460	28	41	NUR	NUR
86460	23	28	NUR	NUR
86480	23	41	NUR	NUR
86480	22	35	NUR	NUR
86480	23	28	NUR	NUR
86500	22	35	NUR	NUR
86500	23	1	NUR	ADM
86500	24	35	NUR	NUR
86520	28	41	NUR	NUR
86520	22	35	NUR	NUR
86520	23	28	NUR	NUR
86540	23	41	NUR	NUR
86540	28	41	NUR	NUR
86540	22	35	NUR	NUR
86540	27	35	NUR	NUR
86540	23	28	NUR	NUR
86540	28	1	NUR	ADM
86540	22	27	NUR	NUR
86560	23	41	NUR	NUR
86560	22	35	NUR	NUR
86560	27	35	NUR	NUR
86560	23	28	NUR	NUR
86560	17	47	MED	PAT
86580	23	41	NUR	NUR
86580	22	35	NUR	NUR
86580	27	35	NUR	NUR
86580	23	28	NUR	NUR
86580	17	47	MED	PAT
86600	23	41	NUR	NUR
86600	28	41	NUR	NUR
86600	22	27	NUR	NUR
86600	17	47	MED	PAT
86620	23	41	NUR	NUR
86620	28	41	NUR	NUR
86620	22	35	NUR	NUR
86620	27	35	NUR	NUR
86620	23	28	NUR	NUR
86620	27	1	NUR	ADM
86640	22	35	NUR	NUR
86640	27	35	NUR	NUR
86640	23	28	NUR	NUR
86660	22	35	NUR	NUR
86660	27	35	NUR	NUR
86660	24	35	NUR	NUR
86660	22	27	NUR	NUR
86660	24	27	NUR	NUR
86680	27	35	NUR	NUR
86680	22	1	NUR	ADM
86680	23	28	NUR	NUR
86680	22	27	NUR	NUR
86680	24	27	NUR	NUR
86700	22	35	NUR	NUR
86700	27	35	NUR	NUR
86700	24	35	NUR	NUR
86700	23	28	NUR	NUR
86700	22	27	NUR	NUR
86700	24	27	NUR	NUR
86720	28	41	NUR	NUR
86720	10	28	MED	NUR
86720	22	35	NUR	NUR
86720	23	10	NUR	MED
86720	24	35	NUR	NUR
86720	23	28	NUR	NUR
86740	23	41	NUR	NUR
86740	28	41	NUR	NUR
86740	10	28	MED	NUR
